Actual_X,Actual_Y,Predicted_Y
"['g', 'u', 'r', 'u', 'p', 'a', 'd', 'o']","['ग', 'ु', 'र', 'ु', 'प', 'द', 'ो']","['ग', 'ु', 'र', 'ू', 'प', 'ा', 'द', 'ो']"
"['h', 'a', 'q']","['क', '़']",['क']
"['n', 'a', 'r', 'b', 'h', 'a', 'k', 'h', 'i']","['न', 'र', 'भ', 'क', '्', 'ष', 'ी']","['न', 'र', 'भ', 'क', '्', 'ष', 'ी']"
"['b', 'a', 'm', 'l', 'e', 'h', 'w', 'a', 'r', 'e', 'e']","['ब', 'म', '्', 'ल', 'े', '्', 'व', 'र', 'ी']","['ब', 'ा', 'म', 'ल', 'े', '्', 'व', 'र', 'ी']"
"['d', 'a', 'b', 'u', 'r']","['ड', 'ा', 'ब', 'र']","['द', 'ा', 'ब', 'ु', 'र']"
"['k', 'u', 'm', 'a', 'r', 'i']","['क', 'ु', 'म', 'ा', 'र', 'ी']","['क', 'ु', 'म', 'ा', 'र', 'ी']"
"['r', 'e', 'f', 'r', 'a', 'c', 't', 'o', 'r', 'i', 'e']","['र', 'ि', 'फ', '्', 'र', 'े', 'क', '्', 'ट', 'र', 'ी', 'ज', '़']","['र', 'े', 'फ', '्', 'र', 'ै', 'क', '्', 'ट', '्', 'र', 'ी', 'ज']"
"['b', 'a', 'a', 'n', 'g', 'a', 'r', 'o', 't', 'i', 'y', 'a']","['ब', 'ा', 'ं', 'ग', 'र', 'ो', 'ट', 'ि', 'य', 'ा']","['ब', 'ा', 'ँ', 'ग', 'र', 'ो', 'त', 'य', 'ा']"
"['b', 'r', 'a', 'h', 'm', 'a', 'p', 'u', 'r']","['ब', '्', 'र', 'ह', '्', 'म', 'प', 'ु', 'र']","['ब', '्', 'र', 'ह', '्', 'म', 'प', 'ु', 'र']"
"['b', 'a', 'l', 't', 'y']","['ब', 'ा', 'ल', '्', 'ट', 'ी']","['ब', 'ा', 'ल', 'ट', 'ी']"
"['p', 'a', 't', 'i', 'a', 'l', 'a']","['प', 'ट', 'ि', 'य', 'ा', 'ल', 'ा']","['प', 'त', 'ि', 'ि', 'ा', 'ा']"
"['b', 'a', 'h', 'u', 'm', 'a', 'a', 'n']","['ब', 'ह', 'ु', 'म', 'ा', 'न']","['ब', 'ह', 'ु', 'म', 'ा', 'न']"
"['l', 'a', 'a', 'm', 'i', 'y', 'a', 'n']","['ल', 'ा', 'म', 'ि', 'य', 'ा', 'ं']","['ल', 'ा', 'म', 'ि', 'य', 'ा', 'ँ']"
"['l', 'a', 'd', 'n', 'e']","['ल', 'ड', 'न', 'े']","['ल', 'ड', 'न', 'े']"
"['d', 'o', 'o', 'r', 'g', 'a', 'd', 'h']","['द', 'ू', 'र', '्', 'ग', 'ध']","['द', 'ू', 'र', 'ग', 'ढ', '़']"
"['h', 'a', 'y', 'n', 'e']","['ह', 'ै', 'न', '्', 'स']","['ह', 'े', 'न', 'े', 'स']"
"['a', 'n', 'h', 'i', 'd', 'a']","['अ', 'न', 'ि', 'द', 'ा']","['अ', 'ं', 'ि', 'द', 'ा']"
"['m', 'u', 'r', 'g', 'e', 'e', 'p', 'a', 'a', 'l', 'a', 'n']","['म', 'ु', 'र', '्', 'ग', 'ी', 'प', 'ा', 'ल', 'न']","['म', 'ु', 'र', '्', 'ग', 'ी', 'प', 'ा', 'ल', 'न']"
"['p', 'r', 'a', 'k', 'r', 'i', 'y', 'a', 'g', 'a', 't']","['प', '्', 'र', 'क', '्', 'र', 'ि', 'य', 'ा', 'ग', 'त']","['प', '्', 'र', 'क', '्', 'र', 'ि', 'य', 'ा', 'ग', 'त']"
"['d', 'i', 'l', 'a', 'e', 'g', 'a']","['द', 'ि', 'ल', 'ा', 'ए', 'ग', 'ा']","['द', 'ि', 'ल', 'े', 'ग', 'ा']"
"['b', 'a', 'l', 'k', 'r', 'i', 'h', 'n', 'a']","['ब', 'ा', 'ल', 'क', 'ृ', 'ष', '्', 'ण']","['ब', 'ा', 'ल', 'क', 'ृ', 'ष', '्', 'ण']"
"['t', 'a', 'p', 'u', 'w', 'o']","['ट', 'ा', 'प', 'ु', 'ओ', 'ं']","['त', 'प', 'ु', 'व', 'ो']"
"['r', 'a', 'i', 't', 'h']","['र', 'ै', 'थ']","['र', 'े', 'थ']"
"['g', 'a', 'r', 'r', 'i', 'o', 'n']","['ग', 'े', 'र', 'ी', 'स', 'न']","['ग', 'ै', 'र', 'ि', 'स', 'न']"
"['a', 'f', 'r', 'a', 'd', 'g', 'a', 'n', 'j']","['स', 'फ', 'र', 'द', 'ग', 'ं', 'ज']","['स', 'फ', 'र', 'द', 'ग', 'ग', 'ज', 'ज']"
"['n', 'a', 'g', 'a', 'p', 'p', 'a', 't', 't', 'i', 'n', 'a', 'm']","['न', 'ा', 'ग', 'ा', 'प', 'ट', '्', 'ट', 'ि', 'न', 'म']","['न', 'ा', 'ग', 'प', '्', 'त', 'त', 'ी', 'न', 'म']"
"['j', 'h', 'u', 'l', 'a', 'e']","['झ', 'ु', 'ल', 'ए']","['झ', 'ु', 'ल', 'े']"
"['d', 'h', 'a', 't', 'n', 'a']","['ध', 'ट', 'न', 'ा']","['ढ', 'ट', 'न', 'ा']"
"['w', 'a', 'n', 'v', 'i', 'b', 'h', 'a', 'g']","['व', 'न', 'व', 'ि', 'भ', 'ा', 'ग']","['व', 'ा', 'न', 'व', 'ि', 'भ', 'ा', 'ग']"
"['i', 't', 'e', 'm']","['आ', 'इ', 'ट', 'म', '्', 'स']","['आ', 'ई', 'ट', 'ी', 'ई', 'ए', 'म', 'ए', 'स']"
"['k', 'a', 'n', 'j', 'e', 'n', 't', 'e', 'v', 'a', 'a', 'i', 't', 'i']","['क', 'ं', 'ज', 'े', 'ं', 'ट', 'े', 'व', 'ा', 'इ', 'ट', 'ि', 'स']","['क', 'ा', 'न', 'े', 'ज', 'न', 'े', 'त', 'व', 'ि', 'ि', 'ि', 'ि', 'ट']"
"['j', 'a', 'm', 'h', 'e', 'd', 'p', 'u', 'r']","['ज', 'म', 'े', 'द', 'प', 'ु', 'र']","['ज', 'म', 'े', 'द', 'प', 'ु', 'र']"
"['d', 'a', 'm', 'l', 'e']","['द', 'ा', 'म', 'ल', 'े']","['ड', 'ा', 'म', 'ल', 'े']"
"['b', 'e', 'a', 'u', 'l', 'a', 'd']","['ब', 'े', 'औ', 'ल', 'ा', 'द']","['ब', '्', 'य', 'ू', 'ल', 'ै', 'ड']"
"['d', 'a', 'r', 'h', 'a', 'a', 'n', 'a']","['द', 'र', '्', 'ा', 'न', 'ा']","['द', 'र', '्', 'ा', 'न', 'ा']"
"['d', 'a', 'v', 'i', 'n', 'd', 'a', 'r', 'p', 'a', 'l']","['द', 'व', 'ि', 'न', '्', 'द', 'र', 'प', 'ा', 'ल']","['द', 'व', 'ि', 'ं', 'द', 'र', 'र', 'प', 'ा', 'ल']"
"['d', 'u', 'b', 'h', 'a', 'h', 'i', 'y', 'o', 'n']","['द', 'ु', 'भ', 'ा', 'ष', 'ि', 'य', 'ो', 'ं']","['द', 'ु', 'भ', 'ा', 'ष', 'ि', 'य', 'ो', 'ं']"
"['a', 'm', 'h', 'a', 'y', 'o', 'n']","['स', 'ं', 'य', 'ो', 'ं']","['स', 'म', 'य', 'ो', 'ं']"
"['c', 'h', 'u', 'l', 't', 'z']","['ु', 'ल', '्', 'ट', '्', 'ज']","['स', '्', 'ल', '्', 'ट', '्', 'ज', '्']"
"['n', 'i', 'c', 'k', 'y']","['न', 'ि', 'क', 'ी']","['न', 'ि', 'क', 'ी']"
"['n', 'a', 'r', 'm']","['न', 'र', 'म']","['न', 'र', '्', 'म']"
"['u', 'n', 'n', 'a', 't', 'i', 'y', 'o', 'n']","['उ', 'न', '्', 'न', 'त', 'ि', 'य', 'ो', 'ं']","['उ', 'न', '्', 'न', 'त', 'ि', 'य', 'ो', 'ं']"
"['a', 'n', 'd', 'a', 'r', 'k', 'h', 'a', 'n', 'e']","['अ', 'ं', 'द', 'र', 'ख', 'ा', 'न', 'े']","['अ', 'ं', 'द', 'र', 'ख', 'ा', 'न', 'े']"
"['a', 'n', 'u', 'p', 'r', 'a', 'y', 'o', 'g', 'i']","['अ', 'न', 'ु', 'प', '्', 'र', 'य', 'ो', 'ग', 'ो', 'ं']","['अ', 'न', 'ु', 'प', '्', 'र', 'य', 'ो', 'ग', 'ी']"
"['c', 'h', 'a', 'u', 'd', 'h', 'a', 'w', 'a', 'n']","['च', 'ौ', 'द', 'ह', 'व', 'ा', 'ं']","['च', 'ौ', 'ध', 'व', 'ा', 'न']"
"['t', 'o', 'n', 'k']","['ट', 'ो', 'ं', 'क']","['ट', 'ो', 'ं', 'क']"
"['p', 'e', 'a', 'r', 'o', 'n']","['प', 'ि', 'य', 'र', 'स', 'न']","['प', 'ी', 'र', 'स', 'न']"
"['g', 'r', 'a', 'h', 'a', 'n', 'a', 'k', 'a', 'a', 'l']","['ग', '्', 'र', 'ह', 'ण', 'क', 'ा', 'ल']","['ग', '्', 'र', 'ह', 'न', 'क', 'ा', 'ल']"
"['r', 'e', 'd', 'd', 'y']","['र', 'े', 'ड', '्', 'ड', 'ी']","['र', 'े', 'ड', '्', 'ड', 'ी']"
"['c', 'h', 'a', 'u', 'd', 'h', 'a', 'r', 'i']","['च', 'ौ', 'ध', 'र', 'ी']","['च', 'ौ', 'ध', 'र', 'ी']"
"['o', 'o', 'r', 'a', 'j']","['स', 'ू', 'र', 'ज']","['स', 'ू', 'र', 'ा', 'ज']"
"['v', 'e', 'l', 'v', 'e', 't']","['व', 'े', 'ल', 'व', 'े', 'ट']","['व', 'े', 'ल', '्', 'व', 'े', 'ट']"
"['k', 'h', 'a', 'i', 'r', 'a', 't', 'i']","['ख', 'ै', 'र', 'ा', 'त', 'ी']","['ख', 'ै', 'र', 'ा', 'त', 'ी']"
"['a', 'c', 'h', 'a', 'n']","['स', 'च', 'न']","['स', 'च', 'न']"
"['g', 'u', 'j', 'a', 'r']","['ग', 'ु', 'ज', 'ा', 'र']","['ग', 'ु', 'ज', 'र']"
"['n', 'a', 't', 'i', 'o', 'n']","['न', 'े', 'ं', 'स']","['न', 'े', 'न', '्', 'स']"
"['p', 'a', 'n', 'a', 'm', 'a']","['प', 'न', 'ा', 'म', 'ा']","['प', 'न', 'ा', 'म', 'ा']"
"['t', 'o', 'c', 'k', 't', 'o', 'n']","['स', '्', 'ट', 'ॉ', 'क', 'ट', 'न']","['स', '्', 'ट', 'ॉ', 'क', 'क', 'ॉ', 'न']"
"['a', 'p', 'a', 'n', 'e']","['स', 'प', 'न', 'े']","['स', 'प', 'न', 'े']"
"['c', 'h', 'a', 'd', 'h', 'e', 'g', 'a']","['च', 'ढ', '़', 'े', 'ग', 'ा']","['च', 'ढ', '़', 'े', 'ग', 'ा']"
"['d', 'a', 'y', 'a', 'a', 'l', 'a', 'p', 'u', 'r', 'a', 'a']","['द', 'य', 'ा', 'ल', 'प', 'ु', 'र', 'ा']","['द', 'य', 'ा', 'ल', 'प', 'ु', 'र', 'ा']"
"['r', 'e', 'k', 'a', 'n', 'n', 'e', 'c', 't', 'i', 'n', 'g']","['र', 'ि', 'क', 'न', 'े', 'क', '्', 'ट', 'ि', 'ं', 'ग']","['र', 'े', 'क', 'े', 'न', '्', 'क', '्', 'ट', 'ी', 'ं', 'ग']"
"['f', 'e', 'l', 'i', 'x']","['फ', 'े', 'ल', 'ि', 'क', '्', 'स']","['फ', 'े', 'ल', 'ि', 'क', '्', 'स']"
"['i', 'e', 'r', 'r', 'a']","['स', 'ि', 'ए', 'र', 'ा']","['स', 'ि', 'य', 'र', 'र', 'ा']"
"['i', 'k', 'a', 'i']","['इ', 'क', 'ा', 'ई']","['इ', 'क', 'ा', 'ई']"
"['g', 'a', 't', 'i', 'h', 'i', 'l', 'a', 't', 'a']","['ग', 'त', 'ि', 'ी', 'ल', 'त', 'ा']","['ग', 'त', 'ि', 'ी', 'ल', 'त', 'ा']"
"['t', 'w', 'i', 't', 't', 'e', 'r']","['ट', '्', 'व', 'ि', 'ट', 'र', '्', 'स']","['ट', '्', 'व', 'ि', 'ट', 'र', '्', 'स']"
"['i', 'l', 'a', 'y', 'a', 'c', 'h', 'i']","['इ', 'ल', 'ा', 'इ', 'च', 'ी']","['इ', 'ल', 'ा', 'य', 'ा', 'च', 'ी']"
"['j', 'e', 'n', 'e', 'n']","['ज', 'े', 'न', '्', 'स', 'न']","['ज', 'े', 'न', 'स', 'े', 'न']"
"['r', 'i', 'h', 'i', 'r', 'a', 'j']","['ऋ', 'ष', 'ि', 'र', 'ा', 'ज']","['ऋ', 'ष', 'ि', 'र', 'ा', 'ज']"
"['r', 'a', 'n', 'j', 'k', 'a', 't', 'h', 'a']","['र', 'ं', 'ज', 'क', 'त', 'ा']","['र', 'ं', 'ज', 'क', 'ा', 'थ', 'ा']"
"['e', 'e', 'l']","['ए', 'स', '्', 'स', 'े', 'ल']","['ई', 'स', '्', 'स', 'े', 'ल']"
"['k', 'a', 'n', 'y', 'a', 'e', 'i', 'n']","['क', 'न', '्', 'य', 'ा', 'ए', 'ं']","['क', 'न', '्', 'य', 'ा', 'ए', 'ं']"
"['t', 'h', 'a', 'p', 'p', 'a', 'd', 'h', 'a', 'b', 'a', 'a', 'j', 'h', 'e', 'e']","['थ', 'प', '्', 'प', 'ड', '़', 'ब', 'ा', 'ज', '़', 'ी']","['थ', 'प', 'प', 'ा', 'भ', 'ा', 'ज', 'ा', 'ी', 'ी']"
"['w', 'a', 'b', 'h', 'a', 'v', 'a', 't', 'a', 'h']","['स', '्', 'व', 'भ', 'ा', 'व', 'त', 'ः']","['स', '्', 'व', 'भ', 'ा', 'व', 'त', 'ः']"
"['h', 'a', 'r', 'n', 'a']","['ह', 'ा', 'र', 'न', 'ा']","['ह', 'र', 'न', 'ा']"
"['t', 'h', 'i', 'r', 't', 'y']","['थ', 'र', '्', 'ट', 'ी']","['थ', 'ि', 'र', '्', 'ट', 'ी']"
"['t', 'a', 'k', 'a', 'r', 'a']","['ट', 'क', 'र', 'ा']","['त', 'क', 'र', 'ा']"
"['j', 'o', 'd', 't', 'a']","['ज', 'ो', 'ड', '़', 'त', 'ा']","['ज', 'ो', 'ड', '़', 'त', 'ा']"
"['n', 'a', 'a', 'm', 'a', 'j', 'a', 'd', 'a', 'g', 'e', 'e']","['न', 'ा', 'म', 'ज', 'द', 'ग', 'ी']","['न', 'ा', 'म', 'ज', '़', 'ग', 'ी', 'ी']"
['b'],"['ब', 'ी', 'ए', 'स', 'ए', 'स', 'ए', 'स']","['ब', 'ी', 'ए', 'स']"
"['j', 'i', 'v', 'a', 'n', 't']","['ज', 'ी', 'व', 'ं', 'त']","['ज', 'ि', 'व', 'ा', 'ं', 'त']"
"['b', 'a', 'g', 'o']","['ब', 'ा', 'ग', 'ो']","['ब', 'ा', 'ग', 'ो']"
"['b', 'e', 'r', 'w', 'y', 'n']","['ब', 'र', '्', 'व', 'ि', 'न']","['ब', 'र', '्', 'व', 'ी', 'न']"
"['r', 'a', 'a', 'l', 'o', 'd']","['र', 'ा', 'ल', 'ो', 'द']","['र', 'ा', 'ल', 'ो', 'द']"
"['p', 'r', 'a', 'n']","['प', '्', 'र', 'ा', 'ण']","['प', '्', 'र', 'न']"
"['u', 'k', 'h', 'a', 'd', 'h', 'a', 'k', 'a', 'r']","['उ', 'ख', 'ड', '़', 'क', 'र']","['उ', 'ख', 'ा', 'ध', 'क', 'र']"
"['a', 'c', 'c', 'h', 'i', 'd', 'a', 'n', 'a', 'n', 'd']","['स', 'च', '्', 'च', 'ि', 'द', 'ा', 'न', 'ं', 'द']","['स', 'च', '्', 'च', 'ी', 'द', 'ं', 'न', 'ं', 'द']"
"['k', 'u', 'h']","['क', 'ु']","['क', 'ु']"
"['u', 'r', 'v', 'a', 'n', 'a', 'a']","['स', 'ु', 'र', '्', 'व', 'ण', 'ा']","['स', 'ु', 'र', 'व', 'ा', 'न', 'ा']"
"['l', 'a', 'i', 'r', 'i']","['ल', 'ै', 'र', 'ी']","['ल', 'ा', 'इ', 'र', 'ी']"
"['t', 'a', 't', 'e']","['ट', 'े', 'ट']","['ट', 'े', 'ट']"
"['k', 'a', 'e', 'g', 'a']","['क', 'स', 'े', 'ग', 'ा']","['क', 'स', 'े', 'ग', 'ा']"
"['f', 'a', 'i', 'l', 'a', 'i', 'y', 'e']","['फ', 'ै', 'ल', 'ा', 'इ', 'ए']","['फ', 'ै', 'ल', 'ै', 'य', 'े']"
"['n', 'a', 'a', 'g', 'm', 'a', 'n', 'd', 'a', 'l']","['न', 'ा', 'ग', 'म', 'ण', '्', 'ड', 'ल']","['न', 'ा', 'ग', 'म', 'ण', '्', 'ड', 'ल']"
"['g', 'u', 'j', 'a', 'a', 'r', 'a', 'n', 'e']","['ग', 'ु', 'ज', 'ा', 'र', 'न', 'े']","['ग', 'ु', 'ज', 'ा', 'र', 'न', 'े']"
"['b', 'a', 'g', 'b', 'a', 'g', 'i', 'c', 'h', 'o', 'n']","['ब', 'ा', 'ग', 'ब', 'ग', 'ी', 'च', 'ो', 'ं']","['ब', 'ग', 'ब', 'ब', 'ि', 'ग', 'ो', 'ं']"
"['c', 'h', 'h', 'a', 'h']","['छ', 'ह']","['छ', '्', 'ह']"
"['k', 'r', 'a', 'n', 'j']","['क', 'र', 'ं', 'ज']","['क', '्', 'र', 'ा', 'ं', 'ज']"
"['j', 'a', 'l', 'g', 't', 'i']","['ज', 'ल', 'ग', 'त', 'ि']","['ज', 'ल', 'ग', 'त', 'ी']"
"['t', 'h', 'o', 'u', 'a', 'n', 'd']","['थ', 'ा', 'उ', 'ज', 'े', 'ं', 'ड']","['थ', 'ा', 'उ', 'स', 'ं', 'ड']"
"['a', 'v', 'i', 't', 'a']","['स', 'व', 'ि', 'त', 'ा']","['स', 'व', 'ि', 'त', 'ा']"
"['p', 'e', 'r', 'a', 'n', 'o', 'r', 'm', 'a', 'l']","['प', 'ै', 'र', 'ा', 'न', 'ॉ', 'र', '्', 'म', 'ल']","['प', 'े', 'र', 'ा', 'न', 'ो', 'र', '्', 'म', 'ल']"
"['u', 'n', 'a', 'n']","['स', 'ू', 'न', 'स', 'ा', 'न']","['स', 'ु', 'न', 'स', 'ा', 'न']"
"['v', 'i', 'd', 'y', 'a', 'a', 'o', 'n']","['व', 'ि', 'द', '्', 'य', 'ा', 'ओ', 'ं']","['व', 'ि', 'द', '्', 'य', 'ा', 'ओ', 'ं']"
"['t', 'o', 'o', 'g', 'a', 'a']","['ट', 'ू', 'ग', 'ा']","['त', 'ू', 'ग', 'ा']"
"['j', 'e', 'e', 'v', 'r', 'a', 'a', 'j']","['ज', 'ी', 'व', 'र', 'ा', 'ज']","['ज', 'ी', 'व', 'र', 'ा', 'ज']"
"['b', 'h', 'a', 'd', 'a', 'u', 'r', 'i', 'a']","['भ', 'द', 'ौ', 'र', 'ि', 'य', 'ा']","['भ', 'द', 'ौ', 'र', 'ि', 'य', 'ा']"
"['n', 'i', 'b', 'h', 'a', 'e', 'g', 'i']","['न', 'ि', 'भ', 'ा', 'ए', 'ग', 'ी']","['न', 'ि', 'भ', 'ा', 'ग', 'ी']"
"['n', 'e', 'u', 'r', 'o', 'c', 'i', 'e', 'n', 't', 'i', 't']","['न', '्', 'य', 'ू', 'र', 'ो', 'स', 'ा', 'इ', 'ं', 'ट', 'ि', 'स', '्', 'ट', '्', 'स']","['न', '्', 'य', 'ू', 'र', 'ो', 'स', 'ा', 'इ', 'ं', 'ट', 'ि', 'स', '्', 'ट']"
"['h', 'i', 'e', 'l', 'd']","['स', 'ी', 'ल', '्', 'ड']","['ि', 'ल', '्', 'ड']"
"['j', 'h', 'a', 'u', 'g', 'u', 'n', 'j']","['झ', 'ा', 'उ', 'ग', 'ं', 'ज']","['झ', 'ौ', 'ग', 'ु', 'ं', 'ज']"
"['m', 'e', 'j', 'b', 'a', 'a', 'n']","['म', 'े', 'ज', '़', 'ब', 'ा', 'न']","['म', 'े', 'ज', 'ब', 'ा', 'ँ']"
"['v', 'a', 'i', 'g', 'y', 'a', 'a', 'n', 'i', 'k']","['व', 'ै', 'ज', '्', 'ञ', 'ा', 'न', 'ि', 'क']","['व', 'ै', 'ज', '्', 'ञ', 'ा', 'न', 'ि', 'क']"
"['c', 'h', 'a', 'n', 'a', 'n']","['च', 'ा', 'न', 'न']","['च', 'न', 'न']"
"['t', 'a', 'j', 'a']","['त', 'ा', 'ज', 'ा']","['त', 'ा', 'ा', 'ा']"
"['q', 'u', 'a', 'h']","['स', '्', 'क', '्', 'व', 'ा']","['स', '्', 'क', '्', 'व', 'ै', 'ष']"
"['t', 'y', 'r', 'o', 'l', 'u', 't', 'i', 'o', 'n']","['स', '्', 'ट', 'ा', 'य', 'र', 'ो', 'ल', '्', 'य', 'ू', 'न']","['स', '्', 'ट', 'ा', 'इ', 'र', 'ो', 'ल', 'ो', 'य', 'ू', 'न']"
"['m', 'a', 'd', 'h', 'u', 'r', 'a']","['म', 'ढ', '़', 'ौ', 'र', 'ा']","['म', 'ध', 'ु', 'र', 'ा']"
"['p', 'h', 'a', 'r', 'm']","['फ', 'ा', 'ॅ', 'र', '्', 'म']","['फ', 'ा', 'र', '्', 'म']"
"['a', 'n', 'h', 'o', 'n', 'i']","['अ', 'न', 'ह', 'ो', 'न', 'ी']","['अ', 'न', '्', 'ह', 'ो', 'न', 'ी']"
"['d', 'h', 'o', 'k', 'e', 'b', 'a', 'a', 'j']","['ध', 'ो', 'ख', 'े', 'ब', 'ा', 'ज']","['ध', 'ो', 'क', 'े', 'ब', 'ा', 'ज']"
"['d', 'h', 'a', 'n', 'd', 'h', 'a', 'n', 'y', 'a']","['ध', 'न', 'ध', 'ा', 'न', '्', 'य']","['ध', 'ं', 'ध', 'न', '्', 'य']"
"['l', 'a', 'g', 'e', 'g', 'a']","['ल', 'ग', 'े', 'ग', 'ा']","['ल', 'ग', 'े', 'ग', 'ा']"
"['p', 'r', 'o', 't', 'e', 'c', 't']","['प', '्', 'र', 'ो', 'ट', 'े', 'क', '्', 'ट', '्', 'स']","['प', '्', 'र', 'ॉ', 'ट', 'े', 'क', '्', 'ट', '्', 'स']"
"['p', 'r', 'a', 'w', 'r', 'u', 't', 'r', 'i', 'y', 'o', 'n']","['प', '्', 'र', 'व', 'ृ', 'त', '्', 'र', 'ि', 'य', 'ो', 'ं']","['प', '्', 'र', 'ा', 'व', '्', 'त', '्', 'र', 'ि', 'य', 'ो', 'ं']"
"['m', 'a', 'j', 'b', 'o', 'o', 'r', 'i']","['म', 'ज', '़', 'ब', 'ू', 'र', 'ी']","['म', 'ज', 'ब', 'ू', 'र', 'ी']"
"['v', 'i', 't', 't', 'h', 'a', 'l']","['व', 'ि', 'ट', '्', 'ठ', 'ल']","['व', 'ि', 'थ', '्', 'थ', 'ल']"
"['b', 'h', 'a', 'l']","['भ', 'ा', 'ल']","['भ', 'ल']"
"['b', 'a', 'a', 'g', 'o', 'r', 'a', 'a']","['ब', 'ा', 'ग', 'ो', 'र', 'ा']","['ब', 'ा', 'ग', 'ो', 'र', 'ा']"
"['n', 'o', 'r', 'a']","['न', 'ो', 'र', 'ा']","['न', 'ौ', 'र', 'ा']"
"['n', 'i', 'k', 'h', 'a', 'r', 'e', 'g', 'a', 'a']","['न', 'ि', 'ख', 'र', 'े', 'ग', 'ा']","['न', 'ि', 'ख', 'र', 'े', 'ग', 'ा']"
"['a', 'r', 'u', 'n', 'a', 'c', 'h', 'a', 'l']","['अ', 'र', 'ु', 'ण', 'ा', 'च', 'ल']","['अ', 'र', 'ु', 'ण', 'ा', 'च', 'ल']"
"['t', 'e', 'x', 'a']","['ट', 'े', 'क', '्', 'स', 'स']","['ट', 'े', 'क', '्', 'स', 'ा', 'स']"
"['h', 'a', 'l', 'e', 'b', 'i', 'd']","['ह', 'ै', 'ल', 'ब', 'ि', 'ड']","['ह', 'ल', 'े', 'ब', 'ि', 'द']"
"['k', 'i']","['स', '्', 'क', 'ी']","['ए', 'स', 'क', 'ी', 'आ', 'ई']"
"['t', 'h', 'a', 'k', 'k', 'r']","['ठ', 'क', '्', 'क', 'र']","['ठ', 'क', '्', 'क', 'र']"
"['l', 'u', 'n', 'a']","['ल', 'ू', 'न', 'ा']","['ल', 'ू', 'न', 'ा']"
"['b', 'e', 'h', 'a', 'r']","['ब', 'ि', 'ह', 'ा', 'र']","['ब', 'े', 'ह', 'र']"
"['i', 'k', 'h', 'r', 'u', 'l']","['उ', 'ख', 'र', 'ु', 'ल']","['इ', 'ख', 'र', 'ु', 'ल']"
"['h', 'i', 'm', 'a', 'l', 'i']","['ह', 'ि', 'म', 'ा', 'ल', 'ी']","['ह', 'ि', 'म', 'ा', 'ल', 'ी']"
"['p', 'o', 't', 't', 'e', 'r']","['प', 'ॉ', 'ट', 'र']","['प', 'ो', 'ट', 'र']"
"['p', 'o', 'l', 'i', 'c', 'y']","['प', 'ा', 'ल', 'ि', 'स', 'ी']","['प', 'ो', 'ल', 'ि', 'स', 'ी']"
"['p', 'r', 'a', 'n', 'i', 't']","['प', '्', 'र', 'न', 'ी', 'त']","['प', '्', 'र', 'न', 'ि', 'त']"
"['n', 'i', 'c', 'h', 'a', 'a', 'i']","['न', 'ी', 'च', 'ा', 'ई']","['न', 'ि', 'च', 'ा', 'ई']"
"['n', 'i', 'v', 'e', 'h', 'k', 'a', 'r', 't', 'a', 'a']","['न', 'ि', 'व', 'े', 'क', 'र', '्', 'त', 'ा']","['न', 'ि', 'व', 'े', 'क', 'र', '्', 'त', 'ा']"
"['j', 'o', 'h', 'n', 'o', 'n']","['ज', 'ॉ', 'न', 'स', 'न']","['ज', 'ो', 'ह', 'स', 'न']"
"['a', 'a', 'g', 'a', 'h', 'e']","['आ', 'ग', 'ा', 'े']","['आ', 'ग', 'े']"
"['g', 'a', 'r', 'e', 'e', 'b', 'o', 'n']","['ग', '़', 'र', 'ी', 'ब', 'ो', 'ं']","['ग', 'र', 'ी', 'ब', 'ो', 'ं']"
"['l', 'a', 'n', 'g', 'd', 'o', 'n']","['ल', 'ै', 'ं', 'ग', 'ड', 'न']","['ल', 'ै', 'ं', 'ग', 'ड', 'ॉ', 'न']"
"['b', 'e', 'i', 'l']","['ब', 'े', 'स', 'ि', 'ल']","['ब', 'े', 'स', 'ि', 'ल']"
"['w', 'a', 't', 'e', 'r']","['व', 'ा', 'ट', 'र', '्', 'स']","['व', 'ा', 'ट', 'र', '्', 'स']"
"['v', 'a', 'i', 't', 'r', 'a', 'v', 'a', 't', 'i']","['व', 'ै', 'त', '्', 'र', 'व', 'त', 'ी']","['व', 'ै', 'त', '्', 'र', 'व', 'त', 'ी']"
"['g', 'u', 'd', 'u', 'r', 'i']","['ग', 'ु', 'द', 'ु', 'र', 'ी']","['ग', 'ु', 'ड', 'ु', 'र', 'ी']"
"['p', 'r', 'a', 'v', 'r', 'i', 't', 't', 'e', 'e', 'y', 'o', 'n']","['प', '्', 'र', 'व', 'ृ', 'त', '्', 'त', 'ी', 'य', 'ो', 'ं']","['प', '्', 'र', 'व', 'ृ', 'त', '्', 'त', 'ि', 'य', 'ो', 'ं']"
"['o', 'f', 'f', 'i', 'c', 'i', 'a', 'l', 'l', 'y']","['ऑ', 'फ', 'ि', 'ि', 'य', 'ल', 'ी']","['ऑ', 'फ', '़', 'ि', 'ल', 'ी']"
"['g', 'u', 'n', 'a']","['ग', 'ु', 'न', 'ा']","['ग', 'ु', 'न', 'ा']"
